fdc_id,brand_owner,ingredients,serving_size,serving_size_unit,branded_food_category,data_type,description,publication_date,cat_null,sat_fat_g,trans_fat_g,magnesium_mg,potassium_mg,mufa_grams,protein_grams,fiber_grams,vitamin_a_IU,vitamin_c_MG,calcium_MG,iron_MG,sugar_G,sodium_MG,NRFNn.3,cluster
353405,QTG,QUAKER CWY GRANOLA BARS COOKIES & CREAM .84Z,24.0,g,,branded_food,QUAKER CWY GRANOLA BARS COOKIES & CREAM .84Z,2019-04-01,True,0.127,0.1,,,0.1905,0.1064,0.456,0.001,0.0,0.441,0.115,0.1748,0.14291666666666664,,238
353406,QTG,Gatorade Prime Berry Sports Fuel Drink (6 - 4FlOz) 16 Fluid Ounce 4Pk Plastic Pouch,120.0,ml,,branded_food,Gatorade Prime Berry Sports Fuel Drink (6 - 4FlOz) 16 Fluid Ounce 4Pk Plastic Pouch,2019-04-01,True,,,,,,0.0,,,,,,0.15336000000000002,0.03833333333333333,,624
353407,Mondelez Int. US (0074819091009),NABISCO NEWTONS COOKIES FIG 1X12.000 OZ,29.0,g,,branded_food,NABISCO NEWTONS COOKIES FIG 1X12.000 OZ,2019-04-01,True,0.0,0.0,,0.07400000000000001,,0.069,0.136,,0.005,0.077,0.12277777777777778,0.33104,0.14375,,398
353408,Beaver Street Fisheries Inc.,12/14OZ CO SNAPPER FILLET,112.0,g,,branded_food,12/14OZ CO SNAPPER FILLET,2019-04-01,True,0.0,0.0,,0.12,0.0,0.4108,0.0,0.0064,0.02666666666666667,0.023,0.01,0.0,0.02583333333333333,,213
353409,"Beer Nuts, Inc.",BEER NUTS Party Mix PET Jar (22 oz),30.0,g,,branded_food,BEER NUTS Party Mix PET Jar (22 oz),2019-04-01,True,0.6665,,,,,0.2666,0.132,,,,,0.34664,0.034583333333333334,,618
353410,PepsiCo,Mug Root Beer 12 Fluid Ounce Aluminum Can,360.0,ml,,branded_food,Mug Root Beer 12 Fluid Ounce Aluminum Can,2019-04-01,True,,,,,,0.0,,,,,,0.09552000000000001,0.0075,,262
353411,Beaver Street Fisheries Inc.,SCALLOPS BACON WRAPPED,141.0,g,,branded_food,SCALLOPS BACON WRAPPED,2019-04-01,True,0.1775,0.0,,0.05828571428571429,0.0,0.2554,0.0,0.0,0.0,0.004,0.021111111111111112,0.0,0.19208333333333333,,864
353412,Frito Lay,Lay's Wavy Lightly Salted Potato Chips 9.5 Ounce Bag,28.0,g,,branded_food,Lay's Wavy Lightly Salted Potato Chips 9.5 Ounce Bag,2019-04-01,True,0.268,0.0,,0.3468571428571429,,0.14279999999999998,0.14400000000000002,0.0,0.35666666666666663,0.0,0.07166666666666667,0.028560000000000002,0.10416666666666667,,274
353413,Beaver Street Fisheries Inc.,40/60 PEEL & EAT SHRIMP,84.0,g,,branded_food,40/60 PEEL & EAT SHRIMP,2019-04-01,True,0.0,0.0,,0.03057142857142857,0.0,0.3096,0.0,0.0,0.0,0.062,0.0,0.0,0.2679166666666667,,821
353414,Mondelez Int. US (0074819091009),RITZ CRACKERS BACON 1X11.5 OZ,16.0,g,,branded_food,RITZ CRACKERS BACON 1X11.5 OZ,2019-04-01,True,0.3125,0.0,,0.026857142857142857,,0.125,0.0,,0.0016666666666666668,0.154,0.19444444444444445,0.05,0.3254166666666667,,61
353415,Frito Lay,Lay's Honey Barbecue Potato Chips 1.125 Ounces,31.8,g,,branded_food,Lay's Honey Barbecue Potato Chips 1.125 Ounces,2019-04-01,True,0.23600000000000002,0.0,,0.3682857142857143,,0.1258,0.124,0.1886,0.315,0.0,0.06277777777777778,0.07544,0.15083333333333335,,473
353416,Frito Lay,Lay's Chile Limon Potato Chips 9.5 Ounce Bag,28.0,g,,branded_food,Lay's Chile Limon Potato Chips 9.5 Ounce Bag,2019-04-01,True,0.268,0.0,,0.3877142857142857,,0.14279999999999998,0.14400000000000002,0.2142,0.35666666666666663,0.0,0.07166666666666667,0.028560000000000002,0.2379166666666667,,749
353417,Beaver Street Fisheries Inc.,2/3 OZ CAN LOBSTER TAILS,112.0,g,,branded_food,2/3 OZ CAN LOBSTER TAILS,2019-04-01,True,0.0,0.0,,0.057142857142857134,0.0,0.3392,0.0,0.0,0.0,0.084,0.015,0.0,0.17875,,4
353418,SMITHFIELD FOODS INC.,PORK SHOULDER BUTT BI 2PC,100.0,g,,branded_food,PORK SHOULDER BUTT BI 2PC,2019-04-01,True,0.05,,,,,0.46,0.0,0.0,0.0,0.0,0.0005555555555555557,,0.025,,350
353419,Beaver Street Fisheries Inc.,SRLN STK CH CAP 8OZ CLTTE,112.0,g,,branded_food,SRLN STK CH CAP 8OZ CLTTE,2019-04-01,True,0.268,0.0,,0.08914285714285715,0.0,0.3928,0.0,0.0,0.0,0.025,0.07944444444444444,0.0,0.0225,,822
353420,Smithfield Foods Inc.,"""HAM,SMKD,HKRY,NJ,PRESLCD,SMKHS RES,6PC""",84.0,g,,branded_food,"""HAM,SMKD,HKRY,NJ,PRESLCD,SMKHS RES,6PC""",2019-04-01,True,0.149,0.0,,,,0.33340000000000003,0.0,0.0,0.0,0.0,0.02388888888888889,0.01904,0.4116666666666667,,700
353421,Mondelez Int. US (0074819091009),DENTYNE PURE GUM MINT/HERBAL ACCENTS SUGAR FREE1X9.000 PC,2.0,g,,branded_food,DENTYNE PURE GUM MINT/HERBAL ACCENTS SUGAR FREE1X9.000 PC,2019-04-01,True,,,,,,0.0,,,,,,0.0,0.0,,824
353422,SMITHFIELD FOODS INC.,"""SAUS,LK,MILD ITAL,FL,4:1,10#,Z""",113.0,g,,branded_food,"""SAUS,LK,MILD ITAL,FL,4:1,10#,Z""",2019-04-01,True,0.5309999999999999,,,,,0.3008,0.0,0.0354,0.0,0.0,0.05333333333333333,0.014159999999999999,0.2325,,794
353423,QTG,Dole 100% Pure With Pulp Orange Juice   59 Fluid Ounce Plastic Bottle,240.0,ml,,branded_food,Dole 100% Pure With Pulp Orange Juice   59 Fluid Ounce Plastic Bottle,2019-04-01,True,0.0,0.0,0.025,0.04942857142857143,,0.0146,0.0,0.0,0.6883333333333332,0.011000000000000001,0.005555555555555557,0.08104,0.0004166666666666667,,236
